ppt_index,stimulus_identity,rating,stim_age,age,height,upper_arm_circumference,upper_arm_circumference_sc,age_sc,stim_age_sc,height_sc
1,m(20).jpg,0,27,46,182,33.25,-0.014123438088861868,0.7513425795030882,0.3917999481742592,0.27241831763486407
1,m(4).jpg,1,29,46,182,33.25,-0.014123438088861868,0.7513425795030882,0.9140912720190304,0.27241831763486407
1,m(2).jpg,1,20,46,182,33.25,-0.014123438088861868,0.7513425795030882,-1.4362196852824396,0.27241831763486407
1,m(11).jpg,1,25,46,182,33.25,-0.014123438088861868,0.7513425795030882,-0.1304913756705119,0.27241831763486407
1,m(13).jpg,1,23,46,182,33.25,-0.014123438088861868,0.7513425795030882,-0.652782699515283,0.27241831763486407
1,m(12).jpg,1,26,46,182,33.25,-0.014123438088861868,0.7513425795030882,0.13065428625187367,0.27241831763486407
1,m(1).jpg,1,20,46,182,33.25,-0.014123438088861868,0.7513425795030882,-1.4362196852824396,0.27241831763486407
1,m(16).jpg,0,23,46,182,33.25,-0.014123438088861868,0.7513425795030882,-0.652782699515283,0.27241831763486407
1,m(17).jpg,1,33,46,182,33.25,-0.014123438088861868,0.7513425795030882,1.9586739197085725,0.27241831763486407
1,m(7).jpg,0,19,46,182,33.25,-0.014123438088861868,0.7513425795030882,-1.6973653472048253,0.27241831763486407
1,m(19).jpg,0,23,46,182,33.25,-0.014123438088861868,0.7513425795030882,-0.652782699515283,0.27241831763486407
1,m(8).jpg,0,22,46,182,33.25,-0.014123438088861868,0.7513425795030882,-0.9139283614376685,0.27241831763486407
1,m(5).jpg,0,26,46,182,33.25,-0.014123438088861868,0.7513425795030882,0.13065428625187367,0.27241831763486407
1,m(3).jpg,1,30,46,182,33.25,-0.014123438088861868,0.7513425795030882,1.175236933941416,0.27241831763486407
1,m(14).jpg,1,32,46,182,33.25,-0.014123438088861868,0.7513425795030882,1.697528257786187,0.27241831763486407
1,m(10).jpg,0,27,46,182,33.25,-0.014123438088861868,0.7513425795030882,0.3917999481742592,0.27241831763486407
